Tank,Block,InitialDensity,Date,Stocked,LarvalPeriod,Photo,Grmass,Growthrate,Mass_g,HL,SVL,TL,HW,Phenotype,AqvT
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7867,0.00529878,0.104362805,1.738,10.34,34.231,64.964,8.987,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7868,0.004573171,0.09352439,1.5,8.293,30.676,62.637,7.786,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7869,0.005304878,0.105256098,1.74,9.851,34.524,68.552,8.889,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7870,0.004564024,0.100060976,1.497,9.24,32.82,67.778,8.516,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7871,0.004118902,0.101740854,1.351,9.771,33.371,65.003,8.388,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7872,0.004539634,0.101335366,1.489,9.726,33.238,64.534,8.567,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7873,0.004679878,0.100134146,1.535,9.359,32.844,63.48,8.239,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7874,0.005539634,0.108560976,1.817,11.047,35.608,68.776,9.297,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7875,0.004295732,0.097246951,1.409,9.74,31.897,61.298,8.244,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7876,0.005307927,0.109402439,1.741,10.971,35.884,67.995,9.084,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7877,0.004740854,0.092884146,1.555,9.128,30.466,62.752,8.247,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7878,0.004365854,0.095945122,1.432,8.553,31.47,62.328,7.588,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7879,0.00567378,0.103487805,1.861,9.115,33.944,65.215,9.21,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7881,0.004320122,0.097722561,1.417,9.756,32.053,60.449,7.958,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7882,0.00575,0.109231707,1.886,10.322,35.828,66.715,8.902,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7883,0.005402439,0.103429878,1.772,9.708,33.925,62.951,8.562,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7884,0.004969512,0.10389939,1.63,10.187,34.079,65.939,8.836,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7885,0.005088415,0.101265244,1.669,10.351,33.215,64.506,8.685,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7886,0.002301829,0.084768293,0.755,8.537,27.804,51.734,7.311,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7887,0.005304878,0.10014939,1.74,9.858,32.849,65.552,8.382,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7888,0.004509146,0.094506098,1.479,9.368,30.998,64.551,8.125,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7889,0.003631098,0.096743902,1.191,9.413,31.732,61.092,7.718,Larva,Aquatic
3,Block 1,33,12/14/2017,1/20/2017,328,DSC_ 7890,0.004009146,0.096905488,1.315,9.587,31.785,58.816,8.039,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7891,0.004634146,0.101115854,1.52,9.572,33.166,60.316,8.656,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7892,0.005134146,0.105935976,1.684,10.851,34.747,65.321,8.846,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7893,0.004402439,0.098609756,1.444,9.625,32.344,59.916,8.256,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7894,0.004490854,0.09904878,1.473,9.795,32.488,64.283,8.531,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7895,0.004064024,0.099536585,1.333,9.654,32.648,64.358,8.387,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7896,0.004667683,0.100393293,1.531,9.723,32.929,62.466,8.625,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7897,0.005945122,0.108573171,1.95,10.424,35.612,66.659,8.579,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7898,0.004219512,0.099365854,1.384,9.403,32.592,61.699,8.257,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7899,0.003868902,0.09339939,1.269,8.318,30.635,60.262,7.987,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7900,0.003579268,0.090698171,1.174,8.697,29.749,59.806,8.304,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7901,0.002359756,0.090189024,0.774,8.146,29.582,47.076,7.346,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7902,0.004984756,0.100432927,1.635,10.026,32.942,65.543,8.712,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7904,0.004832317,0.09967378,1.585,10.078,32.693,58.706,8.649,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7905,0.004204268,0.091429878,1.379,8.059,29.989,58.88,8.225,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7906,0.004795732,0.106033537,1.573,10.728,34.779,62.841,8.846,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7907,0.004631098,0.102722561,1.519,10.078,33.693,65.25,8.636,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7908,0.003591463,0.08645122,1.178,8.523,28.356,49.223,7.652,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7910,0.004539634,0.097481707,1.489,8.94,31.974,61.102,7.954,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7911,0.00425,0.100771341,1.394,9.07,33.053,60.122,8.175,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7912,0.00292378,0.086439024,0.959,7.811,28.352,55.459,7.84,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7913,0.004384146,0.098176829,1.438,9.071,32.202,63.716,8.602,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7914,0.004789634,0.098405488,1.571,9.547,32.277,63.165,8.351,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7915,0.00195122,0.08272561,0.64,7.798,27.134,47.923,7.01,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7916,0.003658537,0.094682927,1.2,8.787,31.056,59.591,7.706,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7917,0.00454878,0.099990854,1.492,9.508,32.797,67.874,8.59,Larva,Aquatic
4,Block 1,28,12/14/2017,1/20/2017,328,DSC_ 7918,0.003832317,0.094347561,1.257,8.908,30.946,60.428,8.079,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7919,0.003685976,0.095310976,1.209,9.328,31.262,63.042,8.227,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7920,0.00339939,0.093801829,1.115,8.423,30.767,59.181,7.812,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7921,0.003914634,0.096189024,1.284,8.837,31.55,62.719,8.122,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7922,0.004762195,0.099216463,1.562,9.327,32.543,57.117,8.492,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7923,0.004466463,0.098637195,1.465,8.855,32.353,62.217,8.05,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7924,0.004829268,0.10885061,1.584,10.182,35.703,64.547,8.633,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7925,0.004637195,0.100509146,1.521,9.61,32.967,57.238,7.84,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7926,0.004560976,0.105292683,1.496,10.132,34.536,60.888,8.506,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7927,0.004067073,0.094844512,1.334,9.295,31.109,60.451,8.84,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7928,0.003914634,0.093545732,1.284,9.158,30.683,58.937,8.242,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7929,0.00379878,0.097213415,1.246,9.609,31.886,59.395,7.607,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7930,0.003344512,0.094521341,1.097,8.989,31.003,57.255,8.406,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7931,0.004612805,0.104618902,1.513,10.554,34.315,64.211,8.412,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7932,0.004335366,0.096478659,1.422,9.529,31.645,61.439,7.814,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7933,0.004027439,0.095865854,1.321,9.834,31.444,59.479,8.305,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7934,0.004631098,0.094609756,1.519,10.23,31.032,62.657,8.392,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7935,0.004625,0.104368902,1.517,9.788,34.233,65.012,8.836,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7936,0.004243902,0.104219512,1.392,10.101,34.184,60.052,8.457,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7937,0.003762195,0.092134146,1.234,8.812,30.22,56.241,7.901,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7938,0.004128049,0.097207317,1.354,9.467,31.884,62.555,8.015,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7939,0.004115854,0.096015244,1.35,8.65,31.493,64.974,7.87,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7940,0.00372561,0.091268293,1.222,8.787,29.936,59.425,7.872,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7941,0.004579268,0.09504878,1.502,9.118,31.176,62.926,8.365,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7942,0.003890244,0.096881098,1.276,8.405,31.777,59.365,7.921,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7943,0.004167683,0.098390244,1.367,9.134,32.272,59.205,8.169,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7944,0.004143293,0.099780488,1.359,9.392,32.728,57.657,8.083,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7945,0.003917683,0.098393293,1.285,9.213,32.273,62.69,8.51,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7946,0.003646341,0.092408537,1.196,8.918,30.31,58.614,7.461,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7947,0.003603659,0.094414634,1.182,8.491,30.968,59.028,8.059,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7948,0.00395122,0.097743902,1.296,9.217,32.06,63.398,7.983,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7949,0.003542683,0.092246951,1.162,8.578,30.257,55.161,7.633,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7950,0.003908537,0.09572561,1.282,8.238,31.398,60.33,7.844,Larva,Aquatic
5,Block 1,38,12/14/2017,1/20/2017,328,DSC_ 7951,0.003868902,0.095835366,1.269,9.143,31.434,60.182,8.024,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7952,0.004996951,0.104539634,1.639,9.057,34.289,66.548,8.791,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7953,0.005582317,0.100365854,1.831,9.929,32.92,68.255,9.15,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7954,0.006128049,0.107432927,2.01,9.963,35.238,71.949,9.313,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7955,0.00557622,0.108679878,1.829,10.95,35.647,70.158,9.341,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7956,0.004448171,0.103506098,1.459,9.38,33.95,63.665,8.477,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7957,0.005972561,0.109865854,1.959,10.269,36.036,72.325,9.28,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7958,0.004969512,0.101652439,1.63,9.913,33.342,68.463,8.836,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7959,0.005719512,0.103637195,1.876,9.734,33.993,71.199,8.847,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7960,0.00517378,0.100978659,1.697,8.657,33.121,66.553,9.012,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7961,0.005140244,0.10170122,1.686,9.741,33.358,70.704,9.103,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7962,0.005542683,0.108530488,1.818,9.756,35.598,73.27,8.566,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7963,0.004637195,0.104509146,1.521,8.936,34.279,66.365,8.509,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7964,0.005832317,0.106515244,1.913,9.737,34.937,72.323,9.236,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7965,0.004810976,0.10245122,1.578,9.739,33.604,68.551,8.693,Larva,Aquatic
6,Block 1,18,12/14/2017,1/20/2017,328,DSC_ 7966,0.004530488,0.102768293,1.486,9.361,33.708,61.844,8.802,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7967,0.009195122,0.125125,3.016,11.204,41.041,83.891,9.953,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7968,0.009210366,0.122429878,3.021,11.095,40.157,82.01,10.361,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_7969,0.008375,0.121158537,2.747,9.425,39.74,79.374,9.307,Paedomorph,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7970,0.009454268,0.121003049,3.101,9.905,39.689,80.143,10.05,Paedomorph,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7971,0.011128049,0.133920732,3.65,11.313,43.926,88.386,10.439,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7972,0.010237805,0.129771341,3.358,11.481,42.565,84.376,10.725,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7973,0.008615854,0.117484756,2.826,9.897,38.535,78.274,9.493,Paedomorph,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7974,0.010685976,0.131271341,3.505,12.039,43.057,86.271,10.236,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7975,0.009198171,0.128762195,3.017,10.865,42.234,84.169,10.393,Larva,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_ 7976,0.008189024,0.115646341,2.686,10.354,37.932,78.468,9.8,Paedomorph,Aquatic
7,Block 1,23,12/14/2017,1/20/2017,328,DSC_7977,0.002143293,0.091722561,0.703,8.567,30.085,45.389,7.39,Larva,Aquatic
8,Block 1,3,12/14/2017,1/20/2017,328,DSC_7978,0.023390244,0.162939024,7.672,12.845,53.444,108.277,13.092,Paedomorph,Aquatic
8,Block 1,3,12/14/2017,1/20/2017,328,DSC_7979,0.024832317,0.179027439,8.145,14.341,58.721,120.318,13.426,Paedomorph,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7980,0.002920732,0.084695122,0.958,NA,27.78,NA,NA,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7981,0.00257622,0.084091463,0.845,7.471,27.582,50.68,7.271,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7982,0.002713415,0.082914634,0.89,8.22,27.196,51.318,7.461,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7983,0.002731707,0.084152439,0.896,8.075,27.602,53.124,7.677,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7984,0.002719512,0.088740854,0.892,7.925,29.107,53.669,7.491,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7985,0.003088415,0.086945122,1.013,8.821,28.518,54.693,8.072,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7986,0.002506098,0.085783537,0.822,8.088,28.137,52.861,7.041,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7987,0.00327439,0.085704268,1.074,8.174,28.111,56.336,7.462,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7988,0.002966463,0.088310976,0.973,8.817,28.966,52.698,7.17,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7989,0.002615854,0.078585366,0.858,8.177,25.776,47.216,7.172,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7990,0.004518293,0.107996951,1.482,9.774,35.423,63.186,8.709,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7991,0.002810976,0.079204268,0.922,7.585,25.979,52.914,7.22,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7992,0.002698171,0.086073171,0.885,7.212,28.232,53.011,7.126,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7993,0.002655488,0.086347561,0.871,8.494,28.322,52.013,7.32,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7994,0.002384146,0.076731707,0.782,7.758,25.168,49.879,7.338,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7995,0.002932927,0.084707317,0.962,7.64,27.784,55.709,7.261,Larva,Aquatic
10,Block 2,33,12/15/2017,1/21/2017,328,DSC_7996,0.002716463,0.081347561,0.891,7.767,26.682,53.344,6.795,Larva,Aquatic
