tank,block,trt,treatment,pred,lethality,cons,cons2,Date,Stocked,larval_period_days,total_days,Days,Photo,TailPhoto...15,mass_g,hl,svl,tl,hw,gr,phenotype,Pheno_terr,Pheno_mat,Sex,tail_length_mm,TailPhoto...27,tail_depth_mm,tail_muscle_mm,tail_area,r,g,b,rgb,rgbform,hue,saturation,brightness,Note,survivors,survival,deaths
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-19T00:00:00Z,2017-01-31T00:00:00Z,231,231,231,DSC_7202,NA,4.47,11.968,47.271,91.928,11.285,0.204636364,Metamorph,Terrestrial,Mature,NA,44.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.583333333,5
15,Block 4,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-09-19T00:00:00Z,2017-01-25T00:00:00Z,237,237,237,DSC_7203,NA,2.573,11.215,40.632,72.419,9.802,0.171443038,Metamorph,Terrestrial,Mature,NA,31.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-19T00:00:00Z,2017-01-25T00:00:00Z,237,237,237,DSC_7204,NA,3.104,11.797,39.408,76.752,10.62,0.166278481,Metamorph,Terrestrial,Mature,NA,37.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
35,Block 2,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-09-19T00:00:00Z,2017-01-25T00:00:00Z,237,237,237,DSC_7205,NA,3.358,12.023,41.253,79.504,11.727,0.174063291,Metamorph,Terrestrial,Mature,NA,38.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
1,Block 6,CE Aphredoderus sayanus,Consumptive Aphredoderus sayanus,Aphredoderus sayanus,Lethal,Consumptive,CE,2017-09-23T00:00:00Z,2017-01-31T00:00:00Z,235,235,235,DSC_7234,NA,7.215,13.146,51.061,101.357,12.754,0.217280851,Metamorph,Terrestrial,Mature,NA,50.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signs of sexual maturity,3,0.25,9
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7235,NA,1.87,9.759,34.456,65.711,9.529,0.142970954,Metamorph,Terrestrial,Mature,NA,31.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
22,Block 3,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7236,NA,2.087,10.962,36.162,69.186,9.704,0.150049793,Metamorph,Terrestrial,Mature,NA,33.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.916666667,1
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7237,NA,3.075,11.391,41.896,83.3,10.649,0.173842324,Metamorph,Terrestrial,Mature,NA,41.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
34,Block 3,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7238,NA,2.105,11.053,35.953,66.91,9.358,0.149182573,Metamorph,Terrestrial,Mature,NA,30.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
34,Block 3,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7239,NA,2.079,9.789,35.356,70.524,9.216,0.146705394,Metamorph,Terrestrial,Mature,NA,35.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
35,Block 2,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7240,NA,2.791,11.725,38.665,73.854,10.558,0.160435685,Metamorph,Terrestrial,Mature,NA,35.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
36,Block 1,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-09-23T00:00:00Z,2017-01-25T00:00:00Z,241,241,241,DSC_7241,NA,3.22,11.433,42.122,79.154,10.684,0.174780083,Metamorph,Terrestrial,Mature,NA,37.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.666666667,4
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-09-23T00:00:00Z,2017-01-31T00:00:00Z,235,235,235,DSC_7242,NA,3.578,11.42,41.726,77.721,11.017,0.177557447,Metamorph,Terrestrial,Mature,NA,35.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-27T00:00:00Z,2017-01-31T00:00:00Z,239,239,239,DSC_7270,NA,5.338,13.34,45.936,95.095,12.077,0.192200837,Metamorph,Terrestrial,Mature,NA,49.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.583333333,5
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-27T00:00:00Z,2017-01-31T00:00:00Z,239,239,239,DSC_7271,NA,5.816,13.318,51.891,93.974,12.851,0.217117155,Metamorph,Terrestrial,Mature,NA,42.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.583333333,5
17,Block 2,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-27T00:00:00Z,2017-01-25T00:00:00Z,245,245,245,DSC_7272,NA,2.687,12.18,41.943,77.417,10.86,0.171195918,Metamorph,Terrestrial,Mature,NA,35.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.75,3
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-09-27T00:00:00Z,2017-01-25T00:00:00Z,245,245,245,DSC_7273,NA,2.559,10.55,37.995,70.695,10.456,0.155081633,Metamorph,Terrestrial,Mature,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-10-03T00:00:00Z,2017-01-25T00:00:00Z,251,251,251,DSC_7274,NA,3.474,11.812,42.93,82.929,10.811,0.171035857,Metamorph,Terrestrial,Mature,NA,39.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
29,Block 2,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-09-27T00:00:00Z,2017-01-25T00:00:00Z,245,245,245,DSC_7274,NA,4.96,13.805,49.655,95.774,12.147,0.202673469,Metamorph,Terrestrial,Mature,NA,46.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,near sexual maturity,7,0.583333333,5
36,Block 1,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-10-03T00:00:00Z,2017-01-25T00:00:00Z,251,251,251,DSC_7275,NA,2.682,11.695,41.695,76.687,10.151,0.166115538,Metamorph,Terrestrial,Mature,NA,34.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.666666667,4
14,Block 5,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-10-07T00:00:00Z,2017-01-31T00:00:00Z,249,249,249,DSC_7279,NA,2.321,9.64,37.689,69.811,10.333,0.151361446,Metamorph,Terrestrial,Mature,NA,32.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.5,6
17,Block 2,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-10-07T00:00:00Z,2017-01-25T00:00:00Z,255,255,255,DSC_7280,NA,2.95,11.617,42.197,78.732,10.564,0.165478431,Metamorph,Terrestrial,Mature,NA,36.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.75,3
26,Block 5,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-10-07T00:00:00Z,2017-01-31T00:00:00Z,249,249,249,DSC_7281,NA,2.484,11.211,37.497,70.606,10.252,0.150590361,Metamorph,Terrestrial,Mature,NA,33.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.75,3
24,Block 1,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-10-10T00:00:00Z,2017-01-25T00:00:00Z,258,258,258,DSC_7286,NA,3.033,11.742,43.564,81.135,10.794,0.168852713,Metamorph,Terrestrial,Mature,NA,37.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,0
26,Block 5,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-10-10T00:00:00Z,2017-01-31T00:00:00Z,252,252,252,DSC_7287,NA,2.552,11.769,41.633,76.75,10.558,0.165210317,Metamorph,Terrestrial,Mature,NA,35.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.75,3
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-10-10T00:00:00Z,2017-01-31T00:00:00Z,252,252,252,DSC_7288,NA,3.183,11.965,43.704,85.795,11.178,0.173428571,Metamorph,Terrestrial,Mature,NA,42.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.833333333,2
1,Block 6,CE Aphredoderus sayanus,Consumptive Aphredoderus sayanus,Aphredoderus sayanus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7498,DSC_7506,10.617,14.954,57.905,114.765,14.136,0.183825397,Paedomorph,Aquatic,Mature,Female,56.86,DSC_7506,13.451,8.204,583.747,51.176,39.66,5.772,32.204,39.23,29.904,238.17,51.178,NA,3,0.25,9
2,Block 5,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7507,DSC_7513,2.42,12.043,39.245,80.524,10.146,0.124587302,Larva,Aquatic,Immature,NA,41.279,DSC_7513,9.594,6.564,312.318,36.484,30.605,7.063,24.711,29.704,32.859,227.732,36.668,NA,1,0.083333333,11
3,Block 4,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7509,DSC_7514,3.755,11.715,41.215,84.347,9.742,0.128395639,Paedomorph,Aquatic,Mature,Male,43.132,DSC_7514,9.702,6.519,277.686,27.812,22.175,4.532,18.175,21.858,28.485,232.946,27.82,NA,1,0.083333333,11
5,Block 2,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7525,DSC_7526,2.306,10.679,37.557,69.942,9.606,0.117,Larva,Aquatic,Immature,NA,32.385,DSC_7526,9.527,6.949,257.707,47.357,40.653,16.678,34.91,39.936,32.06,176.43,47.372,NA,2,0.166666667,10
5,Block 2,CE Fundulus chrysotus,Consumptive Fundulus chrysotus,Fundulus chrysotus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7527,DSC_7528,2.67,11.851,39.967,73.145,9.86,0.124507788,Larva,Aquatic,Immature,NA,33.178,DSC_7528,10.246,6.554,284.183,61.544,46.143,13.052,40.245,46.974,25.52,222.581,61.546,NA,2,0.166666667,10
6,Block 1,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7529,DSC_7531,1.101,9.488,29.112,58.872,7.764,0.090691589,Larva,Aquatic,Immature,NA,29.76,DSC_7531,7.301,4.657,137.527,31.6,19.285,2.743,17.824,21.075,14.817,232.802,31.6,NA,5,0.416666667,7
6,Block 1,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7532,DSC_7533,1.319,10.636,32.791,65.121,8.22,0.102152648,Larva,Aquatic,Immature,NA,32.33,DSC_7533,6.307,4.886,125.635,31.583,18.085,0.581,16.736,20.118,14.273,229.167,31.583,NA,5,0.416666667,7
6,Block 1,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7534,DSC_7535,2.014,11.623,36.442,73.531,9.404,0.11352648,Larva,Aquatic,Immature,NA,37.089,DSC_7535,10.037,6.093,272.645,13.337,5.454,0.024,6.267,7.16,5.972,151.625,13.337,NA,5,0.416666667,7
